2022-02-05T00:40:41.149Z | info | Mapped {/boards, POST} route;
2022-02-05T00:40:41.150Z | info | Mapped {/boards, GET} route;
2022-02-05T00:40:41.150Z | info | Mapped {/boards/:id, GET} route;
2022-02-05T00:40:41.151Z | info | Mapped {/boards/:id, PUT} route;
2022-02-05T00:40:41.152Z | info | Mapped {/boards/:id, DELETE} route;
2022-02-05T00:40:41.152Z | info | TaskController {/boards/:boardId}:;
2022-02-05T00:40:41.153Z | info | Mapped {/boards/:boardId/tasks, POST} route;
2022-02-05T00:40:41.154Z | info | Mapped {/boards/:boardId/tasks, GET} route;
2022-02-05T00:40:41.154Z | info | Mapped {/boards/:boardId/tasks/:taskId, GET} route;
2022-02-05T00:40:41.155Z | info | Mapped {/boards/:boardId/tasks/:taskId, PUT} route;
2022-02-05T00:40:41.156Z | info | Mapped {/boards/:boardId/tasks/:taskId, DELETE} route;
2022-02-05T00:40:41.156Z | info | LoginController {/login}:;
2022-02-05T00:40:41.157Z | info | Mapped {/login, POST} route;
2022-02-05T00:40:41.160Z | info | Nest application successfully started;
2022-02-05T00:40:41.166Z | info | Server started on port 4000;
2022-02-05T00:50:16.824Z | info | Starting Nest application...;
2022-02-05T00:50:16.906Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:50:16.906Z | info | ColumnModule dependencies initialized;
2022-02-05T00:50:16.907Z | info | AppModule dependencies initialized;
2022-02-05T00:50:17.031Z | info | TypeOrmCoreModule dependencies initialized;
2022-02-05T00:50:17.031Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:50:17.031Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:50:17.031Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:50:17.031Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:50:17.036Z | info | UserModule dependencies initialized;
2022-02-05T00:50:17.036Z | info | BoardModule dependencies initialized;
2022-02-05T00:50:17.036Z | info | LoginModule dependencies initialized;
2022-02-05T00:50:17.037Z | info | TaskModule dependencies initialized;
2022-02-05T00:50:17.078Z | info | UserController {/users}:;
2022-02-05T00:50:17.081Z | info | Mapped {/users, POST} route;
2022-02-05T00:50:17.082Z | info | Mapped {/users, GET} route;
2022-02-05T00:50:17.085Z | info | Mapped {/users/:id, GET} route;
2022-02-05T00:50:17.086Z | info | Mapped {/users/:id, PUT} route;
2022-02-05T00:50:17.091Z | info | Mapped {/users/:id, DELETE} route;
2022-02-05T00:50:17.091Z | info | BoardController {/boards}:;
